ListSizes,TestResult
0,0
1000,2
2000,2
3000,4
4000,5
5000,7
6000,8
7000,10
8000,12
9000,13
10000,14
11000,15
12000,17
13000,19
14000,34
15000,26
16000,23
17000,22
18000,26
19000,26
20000,30
21000,32
22000,33
23000,32
24000,32
25000,35
26000,35
27000,37
28000,38
29000,46
30000,53
31000,46
32000,44
33000,42
34000,49
35000,44
36000,47
37000,47
38000,55
39000,65
40000,73
41000,61
42000,68
43000,72
44000,73
45000,91
46000,76
47000,68
48000,75
49000,71
50000,73
51000,77
52000,81
53000,107
54000,90
55000,102
56000,109
57000,105
58000,100
59000,94
60000,114
61000,116
62000,103
63000,103
64000,103
65000,121
66000,115
67000,109
68000,112
69000,119
70000,121
71000,150
72000,161
73000,141
74000,122
75000,138
76000,155
77000,159
78000,145
79000,135
80000,149
81000,170
82000,148
83000,140
84000,155
85000,137
86000,144
87000,135
88000,154
89000,129
90000,134
91000,136
92000,140
93000,144
94000,146
95000,155
96000,152
97000,154
98000,149
99000,167
100000,164
101000,160
102000,170
103000,156
104000,162
105000,149
106000,159
107000,154
108000,165
109000,169
110000,161
111000,168
112000,211
113000,194
114000,197
115000,166
116000,175
117000,198
118000,170
119000,180
120000,184
121000,180
122000,173
123000,187
124000,186
125000,190
126000,200
127000,199
128000,188
129000,192
130000,187
131000,200
132000,190
133000,199
134000,208
135000,206
136000,207
137000,214
138000,224
139000,237
140000,227
141000,242
142000,206
143000,207
144000,207
145000,229
146000,238
147000,279
148000,259
149000,238
150000,243
151000,229
152000,261
153000,268
154000,254
155000,263
156000,232
157000,225
158000,234
159000,228
160000,229
161000,229
162000,228
163000,229
164000,236
165000,239
166000,234
167000,254
168000,260
169000,251
170000,271
171000,264
172000,260
173000,256
174000,256
175000,316
176000,294
177000,275
178000,288
179000,281
180000,281
181000,270
182000,255
183000,273
184000,263
185000,300
186000,275
187000,271
188000,280
189000,268
190000,261
191000,266
192000,294
193000,290
194000,298
195000,286
196000,297
197000,299
198000,317
199000,299
