K,TestResult
0,0
1000,298
2000,333
3000,322
4000,313
5000,325
6000,320
7000,316
8000,323
9000,335
10000,322
11000,328
12000,335
13000,339
14000,355
15000,345
16000,371
17000,390
18000,385
19000,383
20000,386
21000,384
22000,391
23000,387
24000,371
25000,374
26000,393
27000,395
28000,445
29000,521
30000,472
31000,418
32000,429
33000,480
34000,505
35000,512
36000,461
37000,498
38000,426
39000,429
40000,421
41000,496
42000,421
43000,462
44000,466
45000,464
46000,443
47000,484
48000,487
49000,524
50000,456
51000,451
52000,454
53000,430
54000,428
55000,461
56000,426
57000,442
58000,439
59000,432
60000,459
61000,424
62000,419
63000,455
64000,473
65000,485
66000,465
67000,469
68000,423
69000,426
70000,436
71000,471
72000,509
73000,529
74000,516
75000,489
76000,438
77000,426
78000,471
79000,423
80000,406
81000,447
82000,430
83000,453
84000,433
85000,469
86000,467
87000,433
88000,456
89000,480
90000,506
91000,519
92000,528
93000,478
94000,490
95000,520
96000,532
97000,522
98000,492
99000,521
100000,488
101000,495
102000,476
103000,478
104000,491
105000,491
106000,498
107000,492
108000,426
109000,417
110000,418
111000,430
112000,422
113000,464
114000,452
115000,458
116000,516
117000,530
118000,479
119000,509
120000,485
121000,502
122000,507
123000,512
124000,466
125000,507
126000,523
127000,487
128000,444
129000,610
130000,637
131000,611
132000,686
133000,724
134000,677
135000,699
136000,644
137000,593
138000,633
139000,754
140000,623
141000,774
142000,698
143000,707
144000,687
145000,660
146000,637
147000,696
148000,667
149000,696
150000,789
151000,674
152000,749
153000,691
154000,808
155000,824
156000,779
157000,697
158000,871
159000,751
160000,694
161000,834
162000,734
163000,695
164000,804
165000,753
166000,713
167000,723
168000,745
169000,710
170000,834
171000,762
172000,729
173000,689
174000,749
175000,693
176000,751
177000,822
178000,850
179000,758
180000,682
181000,716
182000,715
183000,670
184000,718
185000,721
186000,731
187000,639
188000,721
189000,668
190000,759
191000,690
192000,749
193000,791
194000,791
195000,774
196000,709
197000,750
198000,706
199000,731
