DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,2
3000,2,3,3
4000,3,2,4
5000,4,3,4
6000,7,5,8
7000,11,6,7
8000,11,7,8
9000,12,8,8
10000,17,10,12
11000,25,15,15
12000,27,14,14
13000,32,16,17
14000,41,19,16
15000,42,20,16
16000,52,24,18
17000,59,20,17
18000,72,22,18
19000,98,26,20
20000,103,26,21
21000,117,40,29
22000,124,45,31
23000,145,50,33
24000,176,56,34
25000,182,59,36
26000,190,55,35
27000,186,59,34
28000,208,68,36
29000,233,69,34
30000,235,72,34
31000,259,72,36
32000,299,75,37
33000,318,77,39
34000,387,91,38
35000,448,92,41
36000,475,93,40
37000,452,107,42
38000,441,100,43
39000,470,111,41
40000,480,117,45
41000,671,160,68
42000,678,156,64
43000,620,177,67
44000,660,159,63
45000,865,192,69
46000,757,183,66
47000,804,202,67
48000,797,201,68
49000,905,205,68
50000,1032,214,73
51000,936,219,75
52000,976,229,73
53000,1054,260,71
54000,1075,229,74
55000,1092,245,74
56000,997,285,76
57000,1288,471,77
58000,1383,288,75
59000,1210,292,78
60000,1330,348,82
61000,1451,327,82
62000,1453,339,96
63000,1489,329,94
64000,1398,378,84
65000,1555,360,79
66000,1568,370,99
67000,1783,396,87
68000,1752,403,91
69000,1623,406,101
70000,1631,399,90
71000,1748,430,87
72000,2099,418,103
73000,2306,431,93
74000,2517,438,95
75000,2533,491,102
76000,2460,454,90
77000,2273,446,94
78000,2339,510,95
79000,2536,544,99
